title,date,image,link
12/26(四） ⇢「monologue music」,2024/12/26 (四),https://indievox.static.tixcraft.com/images/activity/24_iv0330090_22d9e57f5e4e3239bd68af67c3f18dcb.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv0330090
柯泯薰 misi Ke《好好的 BE GOOD》專輯發片專場,2024/12/26 (四),https://indievox.static.tixcraft.com/images/activity/24_iv032826c_360afab64994f4ab858d8b79c3517720.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv032826c
Legacy Presents【2024都市女聲】黃玠瑋Zooey Wonder《She’s A Trouble》2024 Concert Tour - 台中場,2024/12/27 (五),https://indievox.static.tixcraft.com/images/activity/24_iv0332694_a58be380ef2fef8e15e9f047a08b88b3.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv0332694
椅子樂團 2024 ”倖存者” 專場巡迴 台北場,2024/12/27 (五),https://indievox.static.tixcraft.com/images/activity/24_iv03324de_d2e7916294b0802ae959c1c7a5fcd74e.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv03324de
12/27（五）初次見面,2024/12/27 (五),https://indievox.static.tixcraft.com/images/activity/24_iv033214b_c717f497f1b0f460f475069a58544feb.png,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv033214b
Legacy Presents【2024都市女聲】： YILE LIN 林以樂 素顏的樣子 True Colors　2024-25 Live Tour -台北場,2024/12/28 (六),https://indievox.static.tixcraft.com/images/activity/24_iv03288f1_5434654f058ba906c153a07e858cd590.jpeg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv03288f1
椅子樂團 2024 ”倖存者” 專場巡迴 台中場,2024/12/28 (六),https://indievox.static.tixcraft.com/images/activity/24_iv033259f_9da4ace80bb0dac35e4011b3cb6dbb14.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv033259f
2024爛泥發芽,2024/12/28 (六)  ~ 2024/12/29 (日),https://indievox.static.tixcraft.com/images/activity/24_iv0326609_52f64a2133a5d1ac7ae1a797a704f5fe.png,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv0326609
荒山茉莉《朔》 2024 EP 發片巡迴 高雄場,2024/12/28 (六),https://indievox.static.tixcraft.com/images/activity/24_iv0330739_2060e92e1c0d052c20c82036e4657500.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv0330739
Legacy Presents【2024都市女聲】黃玠瑋Zooey Wonder《She’s A Trouble》2024 Concert Tour - 台北場,2024/12/29 (日),https://indievox.static.tixcraft.com/images/activity/24_iv033279b_1d911c1302f10daa513785bccc91a72e.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv033279b
荒山茉莉《朔》 2024 EP發片巡迴 台中場 Molly in Mountain “Moonlit Shade” EP Release Tour in Taichung,2024/12/29 (日),https://indievox.static.tixcraft.com/images/activity/24_iv0331162_d13716f86927f24c0846cb27d8881b14.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/24_iv0331162
2025 血肉果汁機《流行兄弟會》BFF－高雄場,2025/01/03 (五),https://indievox.static.tixcraft.com/images/activity/25_iv03328e8_58a0d8fb205dc25127dbc4eae1ab6d74.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/25_iv03328e8
2025團結英雄會,2025/01/04 (六),https://indievox.static.tixcraft.com/images/activity/25_iv032403d_e148df355e5c5e8ec9aaab3181ac2560.png,https://www.indievox.comhttps://www.indievox.com/activity/detail/25_iv032403d
吳獻Osean《Good Enough》發片專場 Legacy Presents #千人展II,2025/01/04 (六),https://indievox.static.tixcraft.com/images/activity/25_iv03318b7_73473f1edd760c805f2eb2e9aef8ccfb.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/25_iv03318b7
巨大的轟鳴 突然決定去《登鸛雀樓》十週年演唱會,2025/01/04 (六),https://indievox.static.tixcraft.com/images/activity/25_iv030397e_e1bd301ec308bbd054662f076b9e372d.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/25_iv030397e
2025血肉果汁機《流行兄弟會》BFF-台中場,2025/01/05 (日),https://indievox.static.tixcraft.com/images/activity/25_iv03323cd_a966a9383a27aaae5740563fb994431d.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/25_iv03323cd
1/9（四）初夜台中,2025/01/09 (四),https://indievox.static.tixcraft.com/images/activity/25_iv033203b_5d98ab0601f0180d0acee430b450727b.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/25_iv033203b
「幕後花絮Behind the Scenes」- 我是機車少女I’mdifficult 2025 專場,2025/01/10 (五),https://indievox.static.tixcraft.com/images/activity/25_iv0331750_dc1370ec405023b90c0677e04e7fdb88.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/25_iv0331750
Legacy Presents【2024都市女聲】Shino林曉培 2025 START Tour -台北場,2025/01/11 (六),https://indievox.static.tixcraft.com/images/activity/25_iv0331398_16bf46ab6eba27b1d0a9705a9d073491.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/25_iv0331398
KOWLOON K《隨便就好「求其啦！》TAIWAN TOUR 2025 - 台南場,2025/01/17 (五),https://indievox.static.tixcraft.com/images/activity/25_iv0333006_bb1ab1b14b14bbaf82188acb434d5e3e.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/25_iv0333006
Skyline 天際線融合爵士樂團 20周年音樂會 - 高雄場,2025/01/17 (五),https://indievox.static.tixcraft.com/images/activity/25_iv03306f7_419dfbaeca79d54430b4b59921017fee.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/25_iv03306f7
Legacy Presents【2024都市女聲】Shino林曉培 2025 START Tour -台中場,2025/01/18 (六),https://indievox.static.tixcraft.com/images/activity/25_iv033141e_5a3b25112fb62b875dc12f3d66316de7.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/25_iv033141e
財神到邪氣來 2025,2025/01/18 (六),https://indievox.static.tixcraft.com/images/activity/25_iv03301ac_1369be95c3e6189697525e2f817e6e2b.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/25_iv03301ac
Skyline 天際線融合爵士樂團 20周年音樂會 - 台中場,2025/01/19 (日),https://indievox.static.tixcraft.com/images/activity/25_iv0332285_61cf2966c041b2dd96790842f0427d2d.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/25_iv0332285
Skyline 天際線融合爵士樂團 20周年音樂會 - 台北場,2025/01/24 (五),https://indievox.static.tixcraft.com/images/activity/25_iv03304de_56bdfe29d612cfba24d365c3bd1e7e98.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/25_iv03304de
2025 夕陽武士祝您《萬事如意》演唱會,2025/01/25 (六),https://indievox.static.tixcraft.com/images/activity/25_iv033086d_8a26100318ba1d9cf39664a06c5d2dc9.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/25_iv033086d
Legacy Presents【2024都市女聲】： YILE LIN 林以樂 素顏的樣子 True Colors　2024-25 Live Tour -台中場,2025/02/08 (六),https://indievox.static.tixcraft.com/images/activity/25_iv03289d7_e2acf49942b2fe2732e5b76abe30fb46.jpeg,https://www.indievox.comhttps://www.indievox.com/activity/detail/25_iv03289d7
霓虹都市浪漫,2025/02/16 (日),https://indievox.static.tixcraft.com/images/activity/25_iv033128d_1363654c3d90a27bd5dab925f601e2ab.png,https://www.indievox.comhttps://www.indievox.com/activity/detail/25_iv033128d
Soundstatues Taiwan Tour,2025/03/01 (六),https://indievox.static.tixcraft.com/images/activity/25_iv0327821_31bd640eaaebb1841ee78714bf2d510e.jpg,https://www.indievox.comhttps://www.indievox.com/activity/detail/25_iv0327821
打倒三明治《人生曬百味》專場 Legacy Presents #千人展II,2025/03/08 (六),https://indievox.static.tixcraft.com/images/activity/25_iv0330998_9010172650f8a106357d60de4505abe2.jpeg,https://www.indievox.comhttps://www.indievox.com/activity/detail/25_iv0330998
